                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.82707,                0.92982,                0.91047,                0.78223,                0.70655,                0.82132,                0.68313,                0.67136,                0.74997,                0.89252,             0.00036765,             0.00036765,             0.00036765
                     71,                0.81855,                0.91999,                0.90617,                0.78407,                0.70347,                0.81515,                0.68492,                0.65472,                0.74964,                0.88782,             0.00036325,             0.00036325,             0.00036325
                     72,                0.81512,                0.90248,                0.90656,                0.78095,                0.70298,                0.81412,                0.67997,                0.66538,                0.75376,                0.89252,             0.00035885,             0.00035885,             0.00035885
                     73,                0.81786,                0.91593,                0.90942,                0.79234,                0.69547,                0.81989,                0.68641,                0.65893,                0.73951,                0.89105,             0.00035444,             0.00035444,             0.00035444
                     74,                0.80988,                 0.8962,                0.90114,                0.78087,                0.71024,                0.81945,                0.68571,                0.65373,                0.74622,                0.88827,             0.00035004,             0.00035004,             0.00035004
                     75,                0.80904,                0.89563,                0.90225,                0.76611,                0.70901,                0.81512,                 0.6823,                0.65605,                0.74212,                0.88943,             0.00034564,             0.00034564,             0.00034564
                     76,                0.80414,                0.88178,                0.90329,                0.79658,                 0.7097,                0.82434,                0.69085,                0.65578,                  0.731,                0.88828,             0.00034124,             0.00034124,             0.00034124
                     77,                  0.798,                0.88785,                0.90207,                0.81013,                 0.6952,                 0.8268,                0.69237,                0.65151,                0.72487,                0.88739,             0.00033683,             0.00033683,             0.00033683
                     78,                0.80103,                0.87728,                0.90266,                0.79823,                 0.7154,                0.82736,                0.69386,                0.65052,                0.72972,                0.88931,             0.00033243,             0.00033243,             0.00033243
                     79,                0.80256,                0.87474,                0.89943,                0.81836,                0.71295,                 0.8325,                0.69873,                0.64538,                0.71299,                0.88759,             0.00032803,             0.00032803,             0.00032803
                     80,                0.79816,                0.86876,                0.89471,                0.81357,                0.71459,                0.83171,                0.69594,                 0.6497,                0.72287,                0.88756,             0.00032363,             0.00032363,             0.00032363
                     81,                0.79829,                0.85695,                0.89752,                0.80704,                0.71014,                0.83341,                0.70085,                0.64494,                0.71909,                0.88639,             0.00031923,             0.00031923,             0.00031923
                     82,                0.79167,                0.85148,                0.89919,                0.81493,                0.71817,                0.83361,                0.70123,                0.64119,                0.71302,                0.88415,             0.00031482,             0.00031482,             0.00031482
                     83,                0.79183,                0.85996,                0.89904,                0.79867,                0.71997,                0.83266,                0.70113,                0.63749,                0.71541,                0.88366,             0.00031042,             0.00031042,             0.00031042
                     84,                 0.7853,                0.84612,                0.89666,                0.81734,                0.71377,                0.83842,                0.70493,                0.63769,                0.70543,                 0.8833,             0.00030602,             0.00030602,             0.00030602
                     85,                0.78183,                0.82926,                0.89181,                0.82187,                0.71773,                0.83826,                0.70452,                0.63825,                0.70239,                0.88201,             0.00030162,             0.00030162,             0.00030162
                     86,                0.77662,                0.82895,                0.89151,                0.83444,                0.71082,                0.84068,                0.70906,                0.62702,                0.69351,                0.88095,             0.00029722,             0.00029722,             0.00029722
                     87,                0.77869,                0.83837,                0.89545,                0.83034,                0.71914,                0.83924,                0.70794,                0.62794,                 0.6953,                0.88021,             0.00029281,             0.00029281,             0.00029281
                     88,                0.78305,                0.84476,                 0.8953,                0.82979,                0.71802,                0.84079,                0.70628,                0.64309,                0.69911,                0.88381,             0.00028841,             0.00028841,             0.00028841
                     89,                0.77889,                0.82634,                0.89389,                0.81766,                0.72431,                0.84251,                0.71152,                0.62515,                0.69066,                0.88004,             0.00028401,             0.00028401,             0.00028401
                     90,                0.76641,                0.81671,                0.89158,                0.82582,                0.71752,                0.84351,                0.71232,                0.63174,                0.68909,                0.87986,             0.00027961,             0.00027961,             0.00027961
                     91,                 0.7657,                0.80732,                0.88803,                0.81723,                0.72159,                0.84339,                0.71184,                 0.6255,                0.68719,                0.87663,              0.0002752,              0.0002752,              0.0002752
                     92,                0.76528,                0.81645,                0.88826,                0.81273,                0.74112,                0.84651,                  0.716,                0.62357,                0.67879,                0.88084,              0.0002708,              0.0002708,              0.0002708
                     93,                0.76031,                0.81276,                0.88985,                0.83066,                0.72952,                0.84643,                0.71545,                0.62489,                0.67951,                0.87846,              0.0002664,              0.0002664,              0.0002664
                     94,                0.75581,                0.79027,                 0.8849,                 0.8114,                0.74245,                0.84693,                0.71755,                0.61903,                0.67796,                0.87379,               0.000262,               0.000262,               0.000262
                     95,                0.75852,                0.79692,                0.88776,                0.82407,                0.73722,                 0.8492,                0.71928,                0.61556,                0.67041,                0.87555,              0.0002576,              0.0002576,              0.0002576
                     96,                0.75947,                0.79938,                0.88614,                0.83874,                0.72711,                0.84774,                0.71737,                0.61506,                 0.6733,                0.87551,             0.00025319,             0.00025319,             0.00025319
                     97,                0.74998,                0.78376,                0.88625,                0.83157,                0.73149,                 0.8521,                0.72242,                0.61577,                0.66837,                0.87657,             0.00024879,             0.00024879,             0.00024879
                     98,                0.75428,                0.78846,                 0.8866,                0.82733,                0.73751,                0.85147,                0.72167,                0.61336,                0.66497,                0.87638,             0.00024439,             0.00024439,             0.00024439
                     99,                  0.747,                0.78239,                0.88564,                 0.8415,                0.72971,                0.85428,                0.72684,                  0.609,                0.66556,                0.87608,             0.00023999,             0.00023999,             0.00023999
                    100,                0.73945,                0.78442,                0.88448,                0.86103,                0.72273,                 0.8571,                0.72751,                0.61025,                0.66115,                0.87621,             0.00023558,             0.00023558,             0.00023558
                    101,                0.74791,                0.77338,                0.88446,                0.84919,                0.72899,                0.85528,                0.72457,                0.61189,                0.65995,                 0.8742,             0.00023118,             0.00023118,             0.00023118
                    102,                0.74188,                0.77317,                0.88875,                0.84901,                0.72986,                0.85464,                0.72442,                0.61321,                0.65847,                0.87604,             0.00022678,             0.00022678,             0.00022678
                    103,                0.75493,                0.77131,                0.88446,                0.83896,                 0.7327,                0.85457,                0.72555,                0.60696,                0.65912,                0.87467,             0.00022238,             0.00022238,             0.00022238
                    104,                0.74016,                0.76328,                0.88446,                0.82271,                0.75494,                0.85513,                0.72641,                0.60874,                0.65644,                0.87391,             0.00021798,             0.00021798,             0.00021798
